Instance,Best NV,Mean NV,Best TD,Mean TD,Mean runtime,Mean number of generations
c101_,10,10.4,829.697888324,876.7730151903,2343.6826054573057,9414.0
c102_,11,11.2,1238.25506447,1437.414786758,1855.976083087921,7371.7
c103_,11,11.0,1577.15427069,1797.0675857269998,2058.234139561653,7932.4
c104_,10,10.0,1723.37443222,2064.808350522,1379.1440407037735,5344.7
c105_,12,12.3,1129.55097512,1321.7750430780002,2356.6196469306947,9331.5
c106_,12,12.3,1274.90320193,1449.5407911219997,2155.8627298355104,8466.6
c107_,12,12.1,1306.18399433,1528.010683778,2146.352599167824,8389.3
c108_,12,12.9,1702.64034245,1911.6265517940003,1768.129488825798,6874.5
c109_,11,11.8,1992.94524939,1999.5644803179998,1709.209600019455,6619.0
c201_,3,3.3333333333333335,591.5565566715015,631.2927178409487,4639.447903196017,9888.333333333334
c202_,4,4.0,1200.29490522,1405.2939142990003,2167.4401101350786,8899.4
c203_,4,4.0,1802.56920443,2201.1538640249996,1556.7775428533555,6194.9
c204_,4,4.0,2120.24629764,2294.506481379,1456.3065536022186,5746.3
c205_,4,4.0,817.073809373,1046.0393371244,1549.476570534706,6624.8
c206_,4,4.0,1051.08231749,1267.344509026,2041.7658395528792,8474.0
c207_,4,4.0,1048.21218601,1347.472360271,1795.9496375322342,7404.3
c208_,4,4.0,1164.75652403,1360.709479343,1853.3385656833648,7650.2
r101_,20,20.2,1824.57165245,1870.0626391009998,1546.836983847618,5978.8
r102_,17,18.0,1783.04063603,1858.713064595,1134.6743022918702,4304.0
r103_,15,15.4,1735.32691209,1811.464292156,1633.7968296289444,6101.7
r104_,14,14.2,1718.28684708,1827.226133406,1541.4344908475875,5689.8
r105_,17,17.6,1796.5058713,1872.852092925,1317.1534111738206,4978.6
r106_,14,15.2,1665.66309654,1773.2647431290002,1831.3490432977676,6917.8
r107_,14,14.7,1679.22224157,1816.9936041920002,1610.4398838043212,5996.1
r108_,14,14.2,1700.69363984,1809.558204274,1172.5083122730255,4395.0
r109_,15,15.9,1936.09441372,1839.846565804,1522.8997343301774,5743.1
r110_,15,15.3,1780.82737394,1889.409439472,1348.3016203403472,5074.1
r111_,14,14.7,1685.19715094,1782.277268405,1506.6290763616562,5620.7
r112_,14,14.7,1858.57029032,1914.851723454,1140.8792585611343,4312.7
r201_,5,5.0,1743.37297996,1895.856729798,1229.4926916122436,5157.0
r202_,4,4.0,1605.64432838,1706.23102836,2037.5591999292374,8274.5
r203_,4,4.0,1870.55799008,1929.2527118049998,1709.1694429397583,6730.9
r204_,4,4.0,1879.90580921,1943.8440511410001,1001.8393143653869,4022.7
r205_,4,4.0,1693.64204556,1890.6879326490002,1428.5711668729782,5770.0
r206_,4,4.0,1625.83945926,1735.75863397,1340.8310868978501,5415.2
r207_,4,4.0,1778.45592069,1939.4908026330002,1291.623491358757,5161.0
r208_,3,3.7,1774.81803236,1872.5741243159998,1382.3850621938705,5426.7
r209_,4,4.0,1742.15595496,1910.0043060550001,1379.2548990011214,5555.9
r210_,4,4.0,1772.60274874,1881.669223865,1470.5045337200165,5894.3
r211_,4,4.0,1886.72923284,1956.7247307529997,894.9918274402619,3624.5
rc101_,17,18.1,1996.97363347,2074.0189671229996,1836.4830755472183,6849.3
rc102_,16,16.9,1943.68389478,2109.2768414930006,1376.7544895172118,5187.0
rc103_,14,15.0,1852.31069487,2001.1518115860003,1513.8600756645203,5645.4
rc104_,14,14.6,1855.77798598,2029.055854054,1277.143481349945,4757.0
rc105_,16,17.0,2020.48835266,2081.61963296,1813.0685836791993,6725.7
rc106_,16,17.1,2017.83412061,2195.076895711,1413.3723086595535,5250.2
rc107_,15,16.1,1962.31249528,2125.0781373019995,1374.1423352479935,5106.1
rc108_,15,15.4,1867.80598705,2039.8673292070002,1574.7489125728607,5824.4
rc201_,5,5.4,2246.19565978,2305.709883388,1418.9652489662171,5861.1
rc202_,5,5.0,1990.19108004,2139.012113916,1551.0921272277833,6301.6
rc203_,4,4.8,2261.94400021,2377.219467612,1164.1337500572204,4674.2
rc204_,4,4.0,2132.27827877,2265.0007471179997,1213.6253480434418,4788.7
rc205_,5,5.1,2084.23201425,2292.165629621,1579.2448927879334,6372.1
rc206_,4,4.8,2038.74543348,2269.297176262,1164.1338315963744,4735.9
rc207_,5,5.0,2351.22086033,2468.0077119820003,734.4898583889008,3039.9
rc208_,4,4.3,2192.69360318,2415.5841406970003,1033.9633074998856,4128.4
