Instance,Best NV,Mean NV,Best TD,Mean TD,Mean runtime,Mean number of generations
c101,3,3.0,191.813619779,191.813619779,23.710987305641176,1363.5
c102,3,3.0,190.737629362,195.1489832254,38.307186770439145,2128.2
c103,3,3.0,193.328487784,196.72237883580001,64.21941227912903,3393.0
c104,3,3.0,191.659057211,199.4901144989,70.78985731601715,3646.9
c105,3,3.0,191.813619779,191.813619779,27.087152934074403,1530.6
c106,3,3.0,191.813619779,191.813619779,24.163153743743898,1375.2
c107,3,3.0,191.813619779,191.813619779,32.15228180885315,1803.8
c108,3,3.0,191.813619779,192.8608905611,55.037986516952515,3004.3
c109,3,3.0,191.813619779,196.6061391082,62.0535293340683,3354.5
c201,2,2.0,215.542565277,215.542565277,21.002844405174255,1227.1
c202,1,1.0,225.589209306,243.2650284804,47.73217332363129,2640.4
c203,1,1.0,233.821101536,259.6441517699,77.60742659568787,4140.3
c204,1,1.0,237.765868538,254.71669657460006,56.45697646141052,3089.6
c205,1,1.0,297.453014659,298.2900278878,31.162886714935304,1836.9
c206,1,1.0,285.394007254,286.71801126749995,26.874054312705994,1561.8
c207,1,1.0,274.814511106,275.48192145530004,41.56886367797851,2478.2
c208,1,1.0,229.83657924,230.0775103078,36.778060865402225,2183.3
r101,8,8.0,618.329915546,618.329915546,27.1069144487381,1351.9
r102,7,7.0,578.056004341,587.2753189309,40.798066067695615,2033.2
r103,4,4.1,476.057520385,484.3658058589999,56.3699134349823,2915.7
r104,4,4.0,427.858373896,434.43277747410013,62.011493515968326,3138.2
r105,5,5.4,556.71612714,547.8478300248,42.30329551696777,2173.2
r106,5,5.0,477.065197026,492.220003492,49.331331205368045,2561.5
r107,4,4.0,446.668252209,459.7695340096,55.42456338405609,2820.2
r108,4,4.0,425.422389556,437.9976193121999,61.4501047372818,3108.3
r109,4,4.2,474.037292141,484.185031013,53.15323157310486,2728.5
r110,4,4.0,445.802829455,449.63730367769995,49.55396692752838,2541.2
r111,4,4.0,439.224973977,460.84574453470003,58.47333841323852,2987.7
r112,4,4.0,405.36363738,429.2301048923,47.86813611984253,2444.3
r201,2,2.0,526.83526097,533.9130732523001,34.41864023208618,1976.4
r202,2,2.0,491.556356068,492.3709414672,42.041805768013,2370.3
r203,2,2.0,450.758640998,464.2389873397,58.24103710651398,3134.6
r204,1,1.0,418.266519897,441.2448889524,69.59702970981598,3825.4
r205,1,1.1,518.287218523,529.8601177712001,46.43295361995697,2550.4
r206,1,1.0,451.348129547,484.49237513879996,53.25342059135437,3023.9
r207,1,1.0,430.078234149,453.55657036900004,71.70948774814606,3951.6
r208,1,1.0,365.746045714,410.11744498240006,62.094822239875796,3435.7
r209,1,1.0,452.076107737,482.2007533651,47.08127062320709,2601.0
r210,1,1.9,542.449750013,446.48257787800003,47.77234103679657,2580.5
r211,1,1.0,385.352367262,436.9377189651999,52.55585737228394,2922.5
rc101,4,4.0,462.155946758,466.5954847905999,40.25274424552917,2178.6
rc102,3,3.0,352.788320078,352.92567830530004,37.29999244213104,2057.3
rc103,3,3.0,333.918636437,334.0952398720999,34.58806405067444,1933.0
rc104,3,3.0,307.139002591,310.78254294019996,50.40857288837433,2778.5
rc105,4,4.0,412.376587895,412.5344974210999,32.778087091445926,1780.5
rc106,3,3.0,347.688692956,348.95728741899995,48.521853637695315,2654.2
rc107,3,3.0,301.717338376,309.84425784679996,65.97246744632722,3616.7
rc108,3,3.0,294.994439518,301.2480998395,64.75154163837433,3514.8
rc201,2,2.0,436.563076625,448.0042085219,32.83666985034942,1922.4
rc202,2,2.0,393.715341077,401.0019248753,44.05544126033783,2541.5
rc203,1,1.0,440.472759795,456.05039252860007,78.15571043491363,4269.2
rc204,1,1.0,349.89367912,362.4785321378001,46.213474702835086,2640.8
rc205,2,2.0,388.108747449,410.2425928879,50.003643202781674,2776.0
rc206,1,1.2,504.481575191,497.7509117667,34.36326055526733,1935.4
rc207,1,1.2,493.468384043,479.97225443750006,50.79204366207123,2797.7
rc208,1,1.0,314.974954386,337.14098593930004,73.65208625793457,4065.6
